91,41,84,141,57,9,149,45,19,143,170,330,158,72,9,14,189,199,-1
104,50,106,209,66,10,207,32,23,158,223,635,220,73,14,9,188,196,-1
93,44,98,197,62,11,183,36,22,146,202,505,152,64,4,14,195,204,-1
102,45,85,193,64,6,192,33,22,146,217,570,163,76,6,7,195,193,-1
80,38,63,129,55,7,146,46,19,130,168,314,158,83,9,20,180,185,-1
89,43,85,160,64,11,155,43,19,151,173,356,174,72,5,9,185,196,-1
88,42,77,151,58,8,140,47,18,142,165,293,158,64,10,11,198,205,-1
82,44,72,118,52,7,152,44,19,147,174,340,177,82,2,2,180,185,-1
88,37,51,105,52,5,119,57,17,128,135,207,125,86,8,16,179,183,-1
91,43,70,133,55,8,130,51,18,146,159,253,156,70,1,8,190,194,-1
85,42,66,122,54,6,148,46,19,141,172,317,174,88,6,14,180,182,-1
78,38,63,115,51,6,142,47,19,130,162,299,146,77,2,4,181,185,-1
98,55,101,228,70,9,210,31,24,168,236,661,245,72,1,6,188,197,1
94,36,66,151,61,8,133,50,18,135,154,265,119,62,9,3,201,208,-1
85,39,68,119,52,5,128,53,18,135,148,241,142,75,8,8,182,187,-1
77,38,63,135,59,5,130,52,18,130,145,247,139,79,13,21,183,187,1
89,41,75,143,56,7,146,46,19,137,170,317,156,76,18,5,184,188,1
81,43,68,125,57,8,149,46,19,146,169,323,172,83,6,18,179,184,-1
98,49,84,219,74,7,190,34,22,154,208,558,209,74,4,7,195,195,-1
91,39,83,170,60,8,172,38,21,134,197,445,152,72,0,10,188,194,-1
86,40,62,140,62,7,150,45,19,133,165,330,173,82,2,3,180,185,-1
94,36,68,127,54,7,127,52,18,132,155,242,116,66,1,2,195,196,-1
104,55,107,222,68,11,218,31,24,173,232,703,229,71,3,10,188,199,-1
80,44,68,135,59,8,150,45,19,145,170,329,173,80,7,12,180,185,-1
89,40,77,159,65,9,144,46,19,141,168,314,143,70,0,5,190,200,-1
88,35,50,121,58,5,114,59,17,122,132,192,138,74,21,4,182,187,1
90,36,57,130,57,6,121,56,17,127,137,216,132,68,22,23,190,195,-1
90,46,80,143,62,11,159,43,20,156,169,366,186,74,17,7,185,193,-1
97,42,101,186,59,9,186,36,22,138,208,511,168,67,7,41,194,206,-1
102,54,100,163,53,10,213,31,24,173,219,669,201,76,12,27,187,195,1
103,54,107,218,64,12,222,30,25,174,221,728,199,67,0,18,189,200,1
91,40,76,171,67,7,149,44,19,135,169,332,144,68,4,17,192,200,-1
104,50,96,211,65,10,187,35,22,156,207,527,195,65,3,7,195,206,-1
85,36,78,149,55,7,147,45,19,128,168,321,134,64,10,24,197,203,1
98,39,81,191,64,9,166,40,20,138,184,415,131,62,8,19,197,205,-1
98,54,104,186,59,10,213,32,24,172,223,665,217,73,1,26,186,195,1
103,54,91,179,57,11,220,31,25,170,220,707,198,72,1,32,186,198,1
106,54,103,161,47,4,247,27,27,166,266,892,242,85,4,11,181,183,-1
96,49,98,187,59,6,213,31,24,152,228,680,210,77,8,28,188,189,-1
102,54,106,221,68,11,207,32,24,164,228,638,238,71,0,26,189,200,-1
103,46,106,209,66,10,203,33,23,149,217,612,210,70,9,10,191,199,-1
