95,48,83,178,72,10,162,42,20,159,176,379,184,70,6,16,187,197,-1
107,57,106,172,50,6,255,26,28,169,280,957,264,85,5,9,181,183,-1
86,36,70,143,61,9,133,50,18,130,153,266,127,66,2,10,194,202,-1
89,36,51,109,52,6,118,57,17,129,137,206,125,80,2,14,181,185,-1
99,53,105,219,66,11,204,32,23,165,221,623,224,68,0,6,191,201,-1
83,36,54,119,57,6,128,53,18,125,143,238,139,82,6,3,179,183,-1
102,45,85,193,64,6,192,33,22,146,217,570,163,76,6,7,195,193,-1
80,38,63,129,55,7,146,46,19,130,168,314,158,83,9,20,180,185,-1
87,38,85,177,61,8,164,40,20,129,186,402,130,63,1,25,198,205,1
81,45,68,169,73,6,151,44,19,146,173,336,186,75,7,0,183,189,-1
89,47,81,147,64,11,156,44,20,163,170,352,188,76,6,13,184,193,-1
91,45,79,176,59,9,163,40,20,148,184,404,179,62,0,10,199,208,-1
96,40,70,120,50,8,137,50,18,141,162,269,139,80,10,13,183,183,-1
83,42,66,156,67,7,150,45,19,144,174,333,159,78,4,2,182,188,-1
110,58,106,180,51,6,261,26,28,171,278,998,257,83,9,13,181,182,-1
89,41,84,141,58,9,149,45,19,145,172,330,162,72,4,18,188,200,-1
104,55,107,222,68,11,218,31,24,173,232,703,229,71,3,10,188,199,-1
94,48,87,162,64,10,157,43,20,161,179,363,186,75,4,15,184,195,-1
97,50,108,211,65,10,214,31,24,156,232,683,218,72,7,29,188,197,1
87,44,65,124,56,6,149,46,19,144,170,321,171,87,4,12,179,182,-1
99,46,105,209,64,11,197,34,23,152,212,575,159,65,0,33,194,205,1
99,48,79,199,68,6,185,35,22,153,202,524,171,74,5,8,195,195,-1
88,35,50,121,58,5,114,59,17,122,132,192,138,74,21,4,182,187,1
95,47,88,162,64,11,159,43,20,157,176,371,185,71,12,13,189,198,-1
109,53,109,221,69,12,221,31,25,169,226,712,212,72,13,28,188,201,-1
90,48,78,142,59,11,160,43,20,160,173,370,185,76,10,11,183,192,-1
85,41,66,155,65,22,149,45,19,139,173,330,155,75,6,16,184,191,-1
100,48,95,209,68,7,199,32,23,150,216,605,200,73,7,11,192,194,-1
100,46,104,184,60,9,197,34,23,147,222,578,198,73,13,13,189,197,-1
102,54,100,163,53,10,213,31,24,173,219,669,201,76,12,27,187,195,1
90,37,80,171,58,9,157,42,20,132,172,373,115,60,3,18,201,209,-1
106,49,107,194,57,11,214,31,24,161,224,670,172,67,0,39,192,206,1
80,43,68,120,54,8,150,45,19,145,171,329,176,85,4,8,179,183,-1
100,46,85,164,64,11,163,42,20,163,176,387,170,71,18,0,189,196,-1
89,40,79,154,64,9,144,46,19,139,168,311,149,71,8,7,188,197,-1
91,45,75,154,57,6,150,44,19,146,170,335,180,66,16,2,193,198,1
82,38,53,125,59,5,133,51,18,128,152,259,146,87,0,0,177,183,1
98,54,104,186,59,10,213,32,24,172,223,665,217,73,1,26,186,195,1
82,45,68,139,64,6,147,46,19,143,169,320,184,80,0,1,181,184,-1
98,38,70,125,52,8,130,53,18,139,157,243,132,74,0,13,186,185,-1
108,51,103,197,60,11,211,31,24,160,222,661,187,67,7,3,190,200,1
102,54,106,221,68,11,207,32,24,164,228,638,238,71,0,26,189,200,-1
103,46,106,209,66,10,203,33,23,149,217,612,210,70,9,10,191,199,-1
90,41,71,169,68,7,150,44,19,138,175,336,157,71,3,18,192,197,-1
83,44,68,144,61,8,147,45,19,143,170,325,180,74,1,1,185,191,-1
100,50,81,197,67,6,186,34,22,158,206,531,198,74,6,1,197,198,-1
85,35,47,110,55,3,117,57,17,122,136,203,139,89,5,9,180,184,-1
90,48,78,134,56,11,160,43,20,167,169,366,185,76,1,14,182,192,-1
100,55,101,189,57,10,222,30,25,177,225,731,211,71,7,17,188,197,1
112,50,110,186,56,11,214,31,24,159,232,676,203,71,18,27,191,202,-1
98,58,101,208,65,12,226,30,25,182,225,748,216,71,6,1,185,196,1
89,35,70,138,58,7,126,53,17,128,147,237,112,64,4,19,199,207,-1
80,45,71,128,56,7,151,45,19,147,171,337,176,79,3,16,181,187,-1
87,44,70,179,75,6,146,45,19,141,167,326,178,69,6,1,194,201,-1
89,48,85,189,64,8,169,39,20,153,188,427,190,64,16,5,195,201,-1
96,47,103,215,69,10,200,33,23,147,220,598,200,73,6,6,187,194,1
98,38,66,130,55,7,130,51,18,138,160,251,123,69,3,12,191,194,-1
90,38,75,164,64,7,151,43,19,131,168,345,139,66,0,0,195,204,-1
82,37,66,126,54,7,132,52,18,127,148,252,142,72,17,7,183,187,-1
91,40,98,192,64,9,177,38,21,135,194,465,165,66,9,35,195,205,-1
106,53,98,193,60,10,215,31,24,169,224,681,218,73,8,21,188,197,-1
85,45,70,130,58,8,151,45,19,146,171,334,187,79,2,5,181,186,-1
96,52,104,222,67,9,198,33,23,163,217,589,226,67,12,20,192,201,1
