0.68,0.49,1,0.5,0.62,0.55,0.28,-1
0.44,0.35,0.48,0.5,0.55,0.55,0.61,-1
0.81,0.52,0.48,0.5,0.57,0.78,0.8,1
0.3,0.45,0.48,0.5,0.36,0.21,0.32,-1
0.06,0.61,0.48,0.5,0.49,0.92,0.37,-1
0.51,0.4,0.48,0.5,0.57,0.62,0.67,-1
0.44,0.34,0.48,0.5,0.3,0.33,0.43,-1
0.5,0.66,0.48,0.5,0.31,0.92,0.92,-1
0.77,0.57,0.48,0.5,0.88,0.53,0.2,-1
0.36,0.42,0.48,0.5,0.53,0.32,0.41,-1
0.22,0.34,0.48,0.5,0.42,0.29,0.39,-1
0.6,0.76,1,0.5,0.77,0.59,0.52,-1
0.48,0.42,0.48,0.5,0.45,0.25,0.35,-1
0.24,0.35,0.48,0.5,0.31,0.19,0.31,-1
0.83,0.48,0.48,0.5,0.65,0.76,0.79,1
0.25,0.48,0.48,0.5,0.44,0.17,0.29,-1
0.63,0.71,0.48,0.5,0.6,0.4,0.39,-1
0.74,0.78,0.48,0.5,0.75,0.54,0.15,-1
0.44,0.52,0.48,0.5,0.43,0.47,0.54,-1
0.73,0.26,0.48,0.5,0.57,0.75,0.78,1
0.76,0.73,0.48,0.5,0.44,0.39,0.39,-1
0.1,0.49,0.48,0.5,0.41,0.67,0.21,-1
0.74,0.74,0.48,0.5,0.31,0.53,0.52,-1
0.3,0.37,0.48,0.5,0.59,0.41,0.49,-1
0.62,0.42,0.48,0.5,0.58,0.79,0.81,1
0.29,0.39,0.48,0.5,0.52,0.4,0.48,-1
0.69,0.43,0.48,0.5,0.59,0.74,0.77,1
0.58,0.55,0.48,0.5,0.57,0.7,0.74,-1
0.32,0.42,0.48,0.5,0.35,0.28,0.38,-1
0.34,0.45,0.48,0.5,0.38,0.24,0.35,-1
0.33,0.45,0.48,0.5,0.52,0.32,0.41,-1
0.63,0.65,0.48,0.5,0.39,0.44,0.35,-1
0.63,0.83,0.48,0.5,0.4,0.39,0.19,-1
0.57,0.38,0.48,0.5,0.06,0.49,0.33,1
0.43,0.4,0.48,0.5,0.39,0.28,0.39,-1
0.48,0.45,0.48,0.5,0.6,0.78,0.8,-1
0.4,0.35,0.48,0.5,0.45,0.33,0.42,-1
0.67,0.39,0.48,0.5,0.36,0.38,0.46,-1
0.77,0.55,0.48,0.5,0.51,0.78,0.74,1
0.31,0.36,0.48,0.5,0.58,0.94,0.94,-1
0.34,0.35,0.48,0.5,0.51,0.49,0.56,-1
0.3,0.44,0.48,0.5,0.49,0.22,0.33,-1
0.25,0.26,0.48,0.5,0.39,0.32,0.42,-1
0.7,0.61,0.48,0.5,0.56,0.52,0.43,-1
0.66,0.49,1,0.5,0.54,0.56,0.36,-1
0.5,0.57,0.48,0.5,0.71,0.61,0.66,-1
0.41,0.43,0.48,0.5,0.5,0.24,0.25,-1
0.38,0.46,0.48,0.5,0.48,0.22,0.29,-1
0.34,0.51,0.48,0.5,0.44,0.37,0.46,-1
0.7,0.46,0.48,0.5,0.56,0.78,0.73,-1
0.69,0.65,0.48,0.5,0.63,0.48,0.41,-1
0.71,0.57,0.48,0.5,0.48,0.35,0.32,-1
0.79,0.36,0.48,0.5,0.46,0.82,0.7,1
0.12,0.67,0.48,0.5,0.74,0.58,0.63,-1
0.55,0.47,0.48,0.5,0.57,0.78,0.8,-1
0.51,0.5,0.48,0.5,0.46,0.32,0.35,-1
0.64,0.78,0.48,0.5,0.5,0.36,0.38,-1
0.47,0.47,0.48,0.5,0.22,0.16,0.26,-1
0.23,0.58,0.48,0.5,0.37,0.53,0.59,-1
0.24,0.34,0.48,0.5,0.38,0.3,0.4,-1
0.78,0.68,0.48,0.5,0.83,0.4,0.29,-1
0.23,0.48,0.48,0.5,0.59,0.88,0.89,-1
0.61,0.47,0.48,0.5,0,0.8,0.32,-1
0.69,0.59,0.48,0.5,0.77,0.39,0.21,-1
0.52,0.54,0.48,0.5,0.62,0.76,0.79,-1
0.27,0.3,0.48,0.5,0.71,0.28,0.39,-1
0.53,0.38,0.48,0.5,0.44,0.26,0.36,-1
