6,18,108,3,0.287,0.741,4.43,31,80,7,-1
5,8,40,1.6,0.55,1,2.44,22,40,9,-1
5,6,30,1.2,0.433,0.733,13,13,22,1,-1
5,7,35,1.4,0.429,0.857,5,15,30,3,-1
6,7,42,1.167,0.405,0.952,4.25,17,40,4,-1
5,5,25,1,0.4,0.56,5,10,14,2,-1
7,16,112,2.286,0.321,0.643,2.57,36,72,14,-1
11,8,88,0.727,0.58,1,5.1,51,88,10,-1
3,59,177,19.667,0.475,0.475,84,84,84,1,-1
9,37,333,4.111,0.532,0.913,3.22,177,304,55,-1
10,98,980,9.8,0.379,0.835,2.22,371,818,167,-1
9,90,810,10,0.26,0.786,2.18,211,637,97,-1
9,34,306,3.778,0.32,0.886,1.56,98,271,63,-1
12,12,144,1,0.306,0.979,1.69,44,141,26,-1
10,34,340,3.4,0.297,0.885,1.71,101,301,59,-1
9,37,333,4.111,0.526,0.898,3.18,175,299,55,-1
11,119,1309,10.818,0.236,0.747,1.75,309,978,177,-1
2,46,92,23,0.587,0.761,18,54,70,3,-1
1,57,57,57,0.456,1,3.71,26,57,7,-1
2,116,232,58,0.616,0.802,17.88,143,186,8,-1
9,123,1107,13.667,0.362,0.986,2.62,401,1091,153,-1
7,107,749,15.286,0.27,0.654,1.6,202,490,126,-1
11,7,77,0.636,0.468,1,3.6,36,77,10,-1
11,8,88,0.727,0.511,0.852,9,45,75,5,-1
10,38,380,3.8,0.387,0.887,2.49,147,337,59,-1
10,98,980,9.8,0.391,0.835,2.41,383,818,159,-1
9,19,171,2.111,0.292,0.76,2.63,50,130,19,-1
9,55,495,6.111,0.299,1,1.92,148,495,77,-1
9,96,864,10.667,0.281,0.815,1.96,243,704,124,-1
8,83,664,10.375,0.325,0.908,1.76,216,603,123,-1
12,40,480,3.333,0.271,0.733,1.97,130,352,66,-1
8,41,328,5.125,0.363,0.942,1.63,119,309,73,-1
9,64,576,7.111,0.465,0.899,2.58,268,518,104,-1
9,36,324,4,0.568,0.932,3.02,184,302,61,-1
9,101,909,11.222,0.442,0.861,2.68,402,783,150,-1
9,46,414,5.111,0.292,0.676,1.92,121,280,63,-1
8,44,352,5.5,0.426,0.938,3.26,150,330,46,-1
8,41,328,5.125,0.335,0.933,2.08,110,306,53,-1
11,301,3311,27.364,0.308,0.735,2.22,1019,2435,458,-1
10,130,1300,13,0.425,0.773,2.79,552,1005,198,-1
5,35,175,7,0.2,0.829,4.38,35,145,8,-1
7,122,854,17.429,0.281,0.626,1.73,240,535,139,-1
10,8,80,0.8,0.5,1,5,40,80,8,-1
9,23,207,2.556,0.304,1,1.62,63,207,39,-1
9,81,729,9,0.388,0.897,2.38,283,654,119,-1
9,32,288,3.556,0.292,0.826,1.53,84,238,55,-1
10,11,110,1.1,0.382,1,1.5,42,110,28,-1
8,17,136,2.125,0.353,0.801,2,48,109,24,-1
10,81,810,8.1,0.279,0.81,2.11,226,656,107,-1
11,100,1100,9.091,0.269,0.765,1.9,296,842,156,-1
25,71,1775,2.84,0.234,0.748,2.22,416,1328,187,-1
11,84,924,7.636,0.251,0.681,1.77,232,629,131,-1
19,123,2337,6.474,0.089,0.089,207,207,208,1,-1
10,65,650,6.5,0.445,0.911,2.58,289,592,112,-1
9,82,738,9.111,0.337,0.817,2.01,249,603,124,-1
9,44,396,4.889,0.465,0.944,3.35,184,374,55,-1
1,19,19,19,0.789,1,3.75,15,19,4,-1
1,9,9,9,0.778,1,7,7,9,1,-1
2,446,892,223,0.439,0.603,17.82,392,538,22,-1
66,3,198,0.045,0.657,0.909,2.6,130,180,50,1
9,76,684,8.444,0.363,0.874,2.18,248,598,114,-1
9,33,297,3.667,0.259,0.774,1.67,77,230,46,-1
11,207,2277,18.818,0.268,0.723,1.84,610,1647,332,-1
9,93,837,10.333,0.323,0.888,2.06,270,743,131,-1
3,7,21,2.333,0.619,0.619,13,13,13,1,-1
6,17,102,2.833,0.275,0.824,2,28,84,14,-1
11,35,385,3.182,0.335,0.584,4.78,129,225,27,-1
10,98,980,9.8,0.448,0.881,2.74,439,863,160,-1
10,49,490,4.9,0.551,0.943,3.07,270,462,88,-1
10,33,330,3.3,0.367,0.864,1.95,121,285,62,-1
9,69,621,7.667,0.343,0.876,1.75,213,544,122,-1
10,63,630,6.3,0.294,0.895,2.2,185,564,84,-1
9,82,738,9.111,0.385,0.935,2.29,284,690,124,-1
22,26,572,1.182,0.283,0.918,1.93,162,525,84,-1
11,13,143,1.182,0.42,0.979,2.22,60,140,27,-1
11,86,946,7.818,0.283,0.764,1.91,268,723,140,-1
9,6,54,0.667,0.5,0.593,13.5,27,32,2,-1
9,34,306,3.778,0.288,0.641,2.1,88,196,42,-1
11,100,1100,9.091,0.456,0.882,3.04,502,970,165,-1
9,47,423,5.222,0.333,0.757,2.39,141,320,59,-1
1,8,8,8,0.875,1,7,7,8,1,-1
2,64,128,32,0.531,0.586,17,68,75,4,-1
7,16,112,2.286,0.42,0.768,2.14,47,86,22,-1
12,8,96,0.667,0.448,0.656,4.3,43,63,10,-1
