5,7,35,1.4,0.371,0.743,4.33,13,26,3,-1
5,6,30,1.2,0.433,0.733,13,13,22,1,-1
5,7,35,1.4,0.429,0.857,5,15,30,3,-1
4,18,72,4.5,0.25,0.528,2.57,18,38,7,-1
2,20,40,10,0.675,0.675,27,27,27,1,-1
10,98,980,9.8,0.379,0.835,2.22,371,818,167,-1
4,194,776,48.5,0.263,0.273,34,204,212,6,-1
2,22,44,11,0.75,0.75,33,33,33,1,-1
10,66,660,6.6,0.273,0.661,1.94,180,436,93,-1
9,12,108,1.333,0.444,0.981,1.71,48,106,28,-1
8,95,760,11.875,0.303,0.937,1.77,230,712,130,-1
10,12,120,1.2,0.367,1,1.69,44,120,26,-1
10,83,830,8.3,0.266,0.827,2.1,221,686,105,-1
9,76,684,8.444,0.307,0.882,1.84,210,603,114,-1
2,20,40,10,0.775,0.85,31,31,34,1,-1
9,5,45,0.556,0.378,0.933,2.83,17,42,6,-1
8,3,24,0.375,0.417,0.417,10,10,10,1,-1
10,100,1000,10,0.436,0.91,2.53,436,910,172,-1
10,152,1520,15.2,0.297,0.778,2.17,452,1182,208,-1
2,116,232,58,0.616,0.802,17.88,143,186,8,-1
1,27,27,27,0.593,1,4,16,27,4,-1
1,12,12,12,0.583,1,3.5,7,12,2,-1
11,9,99,0.818,0.485,0.727,6,48,72,8,-1
11,8,88,0.727,0.443,0.466,39,39,41,1,-1
1,43,43,43,0.907,1,9.75,39,43,4,-1
10,38,380,3.8,0.387,0.887,2.49,147,337,59,-1
9,14,126,1.556,0.127,0.937,1.78,16,118,9,-1
9,96,864,10.667,0.281,0.815,1.96,243,704,124,-1
9,95,855,10.556,0.285,0.723,2.1,244,618,116,-1
11,84,924,7.636,0.262,0.82,1.69,242,758,143,-1
9,80,720,8.889,0.293,0.868,1.85,211,625,114,-1
8,53,424,6.625,0.358,0.981,1.54,152,416,99,-1
11,26,286,2.364,0.297,0.941,2.02,85,269,42,-1
