5,7,35,1.4,0.4,0.657,2.33,14,23,6,-1
5,7,35,1.4,0.486,0.914,8.5,17,32,2,-1
5,7,35,1.4,0.429,0.857,5,15,30,3,-1
5,5,25,1,0.4,0.56,5,10,14,2,-1
5,7,35,1.4,0.429,0.886,2.5,15,31,6,-1
5,4,20,0.8,0.5,0.8,10,10,16,1,-1
13,25,325,1.923,0.234,0.286,10.86,76,93,7,-1
7,103,721,14.714,0.295,0.691,1.76,213,498,121,-1
11,9,99,0.818,0.343,0.626,3.4,34,62,10,-1
9,21,189,2.333,0.429,0.772,3,81,146,27,-1
9,37,333,4.111,0.532,0.913,3.22,177,304,55,-1
9,90,810,10,0.26,0.786,2.18,211,637,97,-1
9,22,198,2.444,0.288,0.818,2.48,57,162,23,-1
10,12,120,1.2,0.367,1,1.69,44,120,26,-1
10,53,530,5.3,0.294,0.819,1.79,156,434,87,-1
11,85,935,7.727,0.257,0.894,1.67,240,836,144,-1
9,12,108,1.333,0.454,1,1.69,49,108,29,-1
11,102,1122,9.273,0.223,0.768,1.53,250,862,163,-1
10,4,40,0.4,0.375,0.4,15,15,16,1,-1
10,34,340,3.4,0.297,0.885,1.71,101,301,59,-1
9,76,684,8.444,0.307,0.882,1.84,210,603,114,-1
12,7,84,0.583,0.214,0.583,3.6,18,49,5,-1
12,44,528,3.667,0.294,0.742,2.31,155,392,67,-1
1,8,8,8,1,1,8,8,8,1,-1
1,44,44,44,0.25,1,2.2,11,44,5,-1
2,20,40,10,0.725,0.875,29,29,35,1,-1
2,48,96,24,0.625,0.677,30,60,65,2,-1
9,32,288,3.556,0.302,0.781,2.07,87,225,42,-1
11,101,1111,9.182,0.398,0.888,2.76,442,987,160,-1
9,13,117,1.444,0.239,0.462,4.67,28,54,6,-1
9,75,675,8.333,0.256,0.606,2.19,173,409,79,-1
9,40,360,4.444,0.319,0.919,2.35,115,331,49,-1
2,18,36,9,0.722,0.722,26,26,26,1,-1
1,17,17,17,0.765,1,3.25,13,17,4,-1
2,46,92,23,0.587,0.761,18,54,70,3,-1
1,57,57,57,0.456,1,3.71,26,57,7,-1
1,10,10,10,0.9,1,9,9,10,1,-1
2,116,232,58,0.616,0.802,17.88,143,186,8,-1
10,131,1310,13.1,0.415,0.857,2.74,543,1123,198,-1
1,12,12,12,0.583,1,3.5,7,12,2,-1
11,8,88,0.727,0.443,0.466,39,39,41,1,-1
8,20,160,2.5,0.5,1,2.76,80,160,29,-1
10,98,980,9.8,0.391,0.835,2.41,383,818,159,-1
10,49,490,4.9,0.52,0.961,2.97,255,471,86,-1
9,19,171,2.111,0.292,0.76,2.63,50,130,19,-1
9,66,594,7.333,0.323,0.805,2,192,478,96,-1
10,13,130,1.3,0.108,0.685,2.33,14,89,6,-1
11,84,924,7.636,0.262,0.82,1.69,242,758,143,-1
8,84,672,10.5,0.269,0.966,1.79,181,649,101,-1
8,75,600,9.375,0.328,0.888,1.86,197,533,106,-1
9,64,576,7.111,0.465,0.899,2.58,268,518,104,-1
9,36,324,4,0.568,0.932,3.02,184,302,61,-1
8,21,168,2.625,0.339,0.673,1.97,57,113,29,-1
19,2,38,0.105,0.816,0.816,31,31,31,1,1
9,101,909,11.222,0.442,0.861,2.68,402,783,150,-1
11,118,1298,10.727,0.26,0.817,2.01,338,1061,168,-1
8,48,384,6,0.31,0.807,1.92,119,310,62,-1
