7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,-1
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,-1
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,-1
6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,-1
7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,-1
8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,-1
7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,-1
7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,-1
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,-1
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,1
6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,-1
7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,-1
7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,-1
7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,-1
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,1
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,-1
6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,-1
7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,-1
6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,-1
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,-1
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,-1
6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,-1
7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,-1
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,-1
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,-1
7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,-1
8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,-1
6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,-1
7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,-1
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,-1
5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,-1
8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,-1
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,-1
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,1
7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,-1
7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,-1
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,-1
