11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,-1
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,-1
8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,-1
6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,-1
8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,-1
5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,-1
5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,1
6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,-1
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,1
8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,-1
7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,-1
8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,1
6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,-1
7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,-1
7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,-1
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,-1
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,-1
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,-1
4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,-1
7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,-1
7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,-1
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,-1
8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,-1
10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,-1
8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,-1
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,-1
8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,-1
8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,-1
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,-1
6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,-1
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,-1
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,-1
7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,-1
7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,-1
6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,-1
6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,-1
7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,1
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,-1
6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,-1
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,-1
6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,-1
7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,-1
6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,-1
7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,-1
11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,-1
8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,-1
